group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day01.1: ,,,,,1054328.0,ns,13
Day01.1: ,,,,,2073699.0,ns,26
Day01.1: ,,,,,3081619.0,ns,39
Day01.1: ,,,,,4284632.0,ns,52
Day01.1: ,,,,,5313836.0,ns,65
Day01.1: ,,,,,6226282.0,ns,78
Day01.1: ,,,,,7222892.0,ns,91
Day01.1: ,,,,,8444238.0,ns,104
Day01.1: ,,,,,9307519.0,ns,117
Day01.1: ,,,,,10374369.0,ns,130
Day01.1: ,,,,,11347945.0,ns,143
Day01.1: ,,,,,12351949.0,ns,156
Day01.1: ,,,,,14405130.0,ns,169
Day01.1: ,,,,,14853308.0,ns,182
Day01.1: ,,,,,16532717.0,ns,195
Day01.1: ,,,,,16367485.0,ns,208
Day01.1: ,,,,,17130600.0,ns,221
Day01.1: ,,,,,18399118.0,ns,234
Day01.1: ,,,,,19814407.0,ns,247
Day01.1: ,,,,,20658722.0,ns,260
Day01.1: ,,,,,21765048.0,ns,273
Day01.1: ,,,,,22112383.0,ns,286
Day01.1: ,,,,,23175219.0,ns,299
Day01.1: ,,,,,24200616.0,ns,312
Day01.1: ,,,,,25123771.0,ns,325
Day01.1: ,,,,,26353384.0,ns,338
Day01.1: ,,,,,28154737.0,ns,351
Day01.1: ,,,,,29348879.0,ns,364
Day01.1: ,,,,,29102413.0,ns,377
Day01.1: ,,,,,30871227.0,ns,390
Day01.1: ,,,,,32040268.0,ns,403
Day01.1: ,,,,,33086120.0,ns,416
Day01.1: ,,,,,34541867.0,ns,429
Day01.1: ,,,,,34160398.0,ns,442
Day01.1: ,,,,,35114493.0,ns,455
Day01.1: ,,,,,36101041.0,ns,468
Day01.1: ,,,,,37729297.0,ns,481
Day01.1: ,,,,,38353340.0,ns,494
Day01.1: ,,,,,39097631.0,ns,507
Day01.1: ,,,,,40200906.0,ns,520
Day01.1: ,,,,,41162460.0,ns,533
Day01.1: ,,,,,42072117.0,ns,546
Day01.1: ,,,,,43210029.0,ns,559
Day01.1: ,,,,,45019684.0,ns,572
Day01.1: ,,,,,45673807.0,ns,585
Day01.1: ,,,,,47752809.0,ns,598
Day01.1: ,,,,,48362909.0,ns,611
Day01.1: ,,,,,49472143.0,ns,624
Day01.1: ,,,,,50445182.0,ns,637
Day01.1: ,,,,,50552841.0,ns,650
Day01.1: ,,,,,51128246.0,ns,663
Day01.1: ,,,,,53138264.0,ns,676
Day01.1: ,,,,,53199025.0,ns,689
Day01.1: ,,,,,55259980.0,ns,702
Day01.1: ,,,,,55519333.0,ns,715
Day01.1: ,,,,,56843677.0,ns,728
Day01.1: ,,,,,58613234.0,ns,741
Day01.1: ,,,,,59932855.0,ns,754
Day01.1: ,,,,,60729480.0,ns,767
Day01.1: ,,,,,61759287.0,ns,780
Day01.1: ,,,,,62044648.0,ns,793
Day01.1: ,,,,,63733126.0,ns,806
Day01.1: ,,,,,64921910.0,ns,819
Day01.1: ,,,,,66205532.0,ns,832
Day01.1: ,,,,,66770820.0,ns,845
Day01.1: ,,,,,68391418.0,ns,858
Day01.1: ,,,,,69328146.0,ns,871
Day01.1: ,,,,,70078487.0,ns,884
Day01.1: ,,,,,70088527.0,ns,897
Day01.1: ,,,,,71784583.0,ns,910
Day01.1: ,,,,,73505481.0,ns,923
Day01.1: ,,,,,72941254.0,ns,936
Day01.1: ,,,,,74743298.0,ns,949
Day01.1: ,,,,,75542746.0,ns,962
Day01.1: ,,,,,76982462.0,ns,975
Day01.1: ,,,,,77739603.0,ns,988
Day01.1: ,,,,,77886846.0,ns,1001
Day01.1: ,,,,,79724315.0,ns,1014
Day01.1: ,,,,,80691525.0,ns,1027
Day01.1: ,,,,,81227072.0,ns,1040
Day01.1: ,,,,,81236213.0,ns,1053
Day01.1: ,,,,,82451092.0,ns,1066
Day01.1: ,,,,,84240943.0,ns,1079
Day01.1: ,,,,,85095751.0,ns,1092
Day01.1: ,,,,,86296047.0,ns,1105
Day01.1: ,,,,,86742494.0,ns,1118
Day01.1: ,,,,,88564900.0,ns,1131
Day01.1: ,,,,,89799723.0,ns,1144
Day01.1: ,,,,,91172944.0,ns,1157
Day01.1: ,,,,,91241262.0,ns,1170
Day01.1: ,,,,,91992329.0,ns,1183
Day01.1: ,,,,,93112079.0,ns,1196
Day01.1: ,,,,,94176055.0,ns,1209
Day01.1: ,,,,,94770146.0,ns,1222
Day01.1: ,,,,,96008672.0,ns,1235
Day01.1: ,,,,,98235545.0,ns,1248
Day01.1: ,,,,,98805014.0,ns,1261
Day01.1: ,,,,,99499579.0,ns,1274
Day01.1: ,,,,,100092942.0,ns,1287
Day01.1: ,,,,,103175258.0,ns,1300
