group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day01.1: ,,,,,1043893.0,ns,13
Day01.1: ,,,,,2032039.0,ns,26
Day01.1: ,,,,,3082352.0,ns,39
Day01.1: ,,,,,4091168.0,ns,52
Day01.1: ,,,,,5082550.0,ns,65
Day01.1: ,,,,,6147597.0,ns,78
Day01.1: ,,,,,7162298.0,ns,91
Day01.1: ,,,,,8252359.0,ns,104
Day01.1: ,,,,,9221079.0,ns,117
Day01.1: ,,,,,10241773.0,ns,130
Day01.1: ,,,,,11222918.0,ns,143
Day01.1: ,,,,,12236875.0,ns,156
Day01.1: ,,,,,13445630.0,ns,169
Day01.1: ,,,,,14311395.0,ns,182
Day01.1: ,,,,,15186609.0,ns,195
Day01.1: ,,,,,16167403.0,ns,208
Day01.1: ,,,,,17009629.0,ns,221
Day01.1: ,,,,,18000082.0,ns,234
Day01.1: ,,,,,19216822.0,ns,247
Day01.1: ,,,,,20346990.0,ns,260
Day01.1: ,,,,,21404447.0,ns,273
Day01.1: ,,,,,22527266.0,ns,286
Day01.1: ,,,,,23264546.0,ns,299
Day01.1: ,,,,,24505229.0,ns,312
Day01.1: ,,,,,25506138.0,ns,325
Day01.1: ,,,,,26027289.0,ns,338
Day01.1: ,,,,,27643624.0,ns,351
Day01.1: ,,,,,28249666.0,ns,364
Day01.1: ,,,,,29551871.0,ns,377
Day01.1: ,,,,,30529636.0,ns,390
Day01.1: ,,,,,31604570.0,ns,403
Day01.1: ,,,,,32712700.0,ns,416
Day01.1: ,,,,,33579427.0,ns,429
Day01.1: ,,,,,34587367.0,ns,442
Day01.1: ,,,,,35796166.0,ns,455
Day01.1: ,,,,,36127412.0,ns,468
Day01.1: ,,,,,36931848.0,ns,481
Day01.1: ,,,,,38552217.0,ns,494
Day01.1: ,,,,,39781568.0,ns,507
Day01.1: ,,,,,40739965.0,ns,520
Day01.1: ,,,,,41948433.0,ns,533
Day01.1: ,,,,,42820587.0,ns,546
Day01.1: ,,,,,44094650.0,ns,559
Day01.1: ,,,,,45322086.0,ns,572
Day01.1: ,,,,,45722740.0,ns,585
Day01.1: ,,,,,47074691.0,ns,598
Day01.1: ,,,,,47551449.0,ns,611
Day01.1: ,,,,,48296080.0,ns,624
Day01.1: ,,,,,49512349.0,ns,637
Day01.1: ,,,,,51153544.0,ns,650
Day01.1: ,,,,,52311351.0,ns,663
Day01.1: ,,,,,52912176.0,ns,676
Day01.1: ,,,,,53791732.0,ns,689
Day01.1: ,,,,,54814899.0,ns,702
Day01.1: ,,,,,56011436.0,ns,715
Day01.1: ,,,,,57139102.0,ns,728
Day01.1: ,,,,,58731076.0,ns,741
Day01.1: ,,,,,58275002.0,ns,754
Day01.1: ,,,,,59386927.0,ns,767
Day01.1: ,,,,,60053889.0,ns,780
Day01.1: ,,,,,61516178.0,ns,793
Day01.1: ,,,,,63104350.0,ns,806
Day01.1: ,,,,,64558244.0,ns,819
Day01.1: ,,,,,64843836.0,ns,832
Day01.1: ,,,,,66187344.0,ns,845
Day01.1: ,,,,,67018468.0,ns,858
Day01.1: ,,,,,68688899.0,ns,871
Day01.1: ,,,,,69419496.0,ns,884
Day01.1: ,,,,,69381073.0,ns,897
Day01.1: ,,,,,70961990.0,ns,910
Day01.1: ,,,,,71611825.0,ns,923
Day01.1: ,,,,,72053297.0,ns,936
Day01.1: ,,,,,73355199.0,ns,949
Day01.1: ,,,,,75292386.0,ns,962
Day01.1: ,,,,,76321557.0,ns,975
Day01.1: ,,,,,77245575.0,ns,988
Day01.1: ,,,,,78473676.0,ns,1001
Day01.1: ,,,,,78716266.0,ns,1014
Day01.1: ,,,,,80074140.0,ns,1027
Day01.1: ,,,,,81191448.0,ns,1040
Day01.1: ,,,,,82697422.0,ns,1053
Day01.1: ,,,,,83912540.0,ns,1066
Day01.1: ,,,,,83612229.0,ns,1079
Day01.1: ,,,,,85381415.0,ns,1092
Day01.1: ,,,,,87620294.0,ns,1105
Day01.1: ,,,,,87743375.0,ns,1118
Day01.1: ,,,,,87695587.0,ns,1131
Day01.1: ,,,,,89546066.0,ns,1144
Day01.1: ,,,,,90046850.0,ns,1157
Day01.1: ,,,,,91297736.0,ns,1170
Day01.1: ,,,,,93139989.0,ns,1183
Day01.1: ,,,,,93951675.0,ns,1196
Day01.1: ,,,,,94494213.0,ns,1209
Day01.1: ,,,,,96405422.0,ns,1222
Day01.1: ,,,,,96586778.0,ns,1235
Day01.1: ,,,,,98010065.0,ns,1248
Day01.1: ,,,,,98685920.0,ns,1261
Day01.1: ,,,,,98905457.0,ns,1274
Day01.1: ,,,,,100030464.0,ns,1287
Day01.1: ,,,,,101913150.0,ns,1300
